months_practicing,identity,years_practicing
96.0,Non-hierarchical Polyamory,8.0
72.0,Ethical / Consensual Non-monogamy,6.0
144.0,Other CNM Type,12.0
240.0,Other CNM Type,20.0
72.0,Polyamory,6.0
70.0,Solo Polyamory,5.833333333333333
22.0,Garden Party Polyamory,1.8333333333333333
30.0,Open Relationship,2.5
120.0,Kitchen Table Polyamory,10.0
124.0,Kitchen Table Polyamory,10.333333333333334
108.0,Polyamory,9.0
120.0,Relationship Anarchy,10.0
9.0,Solo Polyamory,0.75
174.0,Relationship Anarchy,14.5
72.0,Solo Polyamory,6.0
84.0,Throuple/Triad,7.0
204.0,Relationship Anarchy,17.0
252.0,Ethical / Consensual Non-monogamy,21.0
300.0,Open Relationship,25.0
69.0,Polyamory,5.75
60.0,Polyamory,5.0
102.0,Polyamory,8.5
108.0,Polyamory,9.0
12.0,Monogamish,1.0
34.0,Polyamory,2.8333333333333335
114.0,Relationship Anarchy,9.5
120.0,Kitchen Table Polyamory,10.0
288.0,Kitchen Table Polyamory,24.0
180.0,Ethical / Consensual Non-monogamy,15.0
31.0,Solo Polyamory,2.5833333333333335
60.0,Lifestyle/Swinger,5.0
87.0,Polyamory,7.25
120.0,Solo Polyamory,10.0
108.0,Polyamory,9.0
120.0,Kitchen Table Polyamory,10.0
23.0,Kitchen Table Polyamory,1.9166666666666667
126.0,Kitchen Table Polyamory,10.5
48.0,Polyamory,4.0
34.0,Kitchen Table Polyamory,2.8333333333333335
18.0,Other CNM Type,1.5
30.0,Relationship Anarchy,2.5
18.0,Solo Polyamory,1.5
33.0,Solo Polyamory,2.75
108.0,Non-hierarchical Polyamory,9.0
480.0,Hierarchical Polyamory,40.0
120.0,Relationship Anarchy,10.0
44.0,Relationship Anarchy,3.6666666666666665
300.0,Polyamory,25.0
31.0,Monogamish,2.5833333333333335
54.0,Relationship Anarchy,4.5
108.0,Relationship Anarchy,9.0
90.0,Lifestyle/Swinger,7.5
9.0,Polyamory,0.75
133.0,Non-hierarchical Polyamory,11.083333333333334
73.0,Solo Polyamory,6.083333333333333
288.0,Relationship Anarchy,24.0
240.0,Solo Polyamory,20.0
60.0,Solo Polyamory,5.0
33.0,Open Relationship,2.75
40.0,Relationship Anarchy,3.3333333333333335
66.0,Non-hierarchical Polyamory,5.5
168.0,Kitchen Table Polyamory,14.0
113.0,Relationship Anarchy,9.416666666666666
221.0,Lifestyle/Swinger,18.416666666666668
186.0,Polyamory,15.5
120.0,Lifestyle/Swinger,10.0
24.0,Lifestyle/Swinger,2.0
144.0,Polyamory,12.0
66.0,Lifestyle/Swinger,5.5
48.0,Solo Polyamory,4.0
0.0,Other CNM Type,0.0
96.0,Ethical / Consensual Non-monogamy,8.0
90.0,Ethical / Consensual Non-monogamy,7.5
30.0,Non-hierarchical Polyamory,2.5
60.0,Open Relationship,5.0
6.0,Lifestyle/Swinger,0.5
49.0,Polyamory,4.083333333333333
48.0,Relationship Anarchy,4.0
146.0,Garden Party Polyamory,12.166666666666666
24.0,Solo Polyamory,2.0
96.0,Polyamory,8.0
27.0,Ethical / Consensual Non-monogamy,2.25
108.0,Relationship Anarchy,9.0
156.0,Relationship Anarchy,13.0
26.0,Lifestyle/Swinger,2.1666666666666665
12.0,Lifestyle/Swinger,1.0
30.0,Ethical / Consensual Non-monogamy,2.5
36.0,Polyamory,3.0
24.0,Ethical / Consensual Non-monogamy,2.0
61.0,Ethical / Consensual Non-monogamy,5.083333333333333
129.0,Polyamory,10.75
120.0,Relationship Anarchy,10.0
30.0,Polyamory,2.5
54.0,Solo Polyamory,4.5
48.0,Kitchen Table Polyamory,4.0
42.0,Polyamory,3.5
24.0,Lifestyle/Swinger,2.0
39.0,Polyamory,3.25
14.0,Ethical / Consensual Non-monogamy,1.1666666666666667
240.0,Polyamory,20.0
36.0,Lifestyle/Swinger,3.0
18.0,Open Relationship,1.5
0.0,Hierarchical Polyamory,0.0
240.0,Ethical / Consensual Non-monogamy,20.0
60.0,Kitchen Table Polyamory,5.0
154.0,Ethical / Consensual Non-monogamy,12.833333333333334
154.0,Polyamory,12.833333333333334
600.0,Other CNM Type,50.0
180.0,Ethical / Consensual Non-monogamy,15.0
5.0,Lifestyle/Swinger,0.4166666666666667
